Date,Demand
18-07-18,14192
18-07-19,13425
18-07-19,12963
18-07-19,12677
18-07-19,12672
18-07-19,13000
18-07-19,13742
18-07-19,14955
18-07-19,15699
18-07-19,16135
18-07-19,16466
18-07-19,16866
18-07-19,17067
18-07-19,17374
18-07-19,17720
18-07-19,18096
18-07-19,18835
18-07-19,19555
18-07-19,20076
18-07-19,20229
18-07-19,19755
18-07-19,19158
18-07-19,17915
18-07-19,16139
18-07-19,14812
18-07-20,14163
18-07-20,13386
18-07-20,13023
18-07-20,13080
18-07-20,13293
18-07-20,13956
18-07-20,15342
18-07-20,16607
18-07-20,17312
18-07-20,18013
18-07-20,18569
18-07-20,19082
18-07-20,19442
18-07-20,19752
18-07-20,20044
18-07-20,20339
18-07-20,20716
18-07-20,20660
18-07-20,20371
18-07-20,19952
18-07-20,19656
18-07-20,18546
18-07-20,16879
18-07-20,15726
18-07-21,14875
18-07-21,14380
18-07-21,13893
18-07-21,13591
18-07-21,13476
18-07-21,13711
18-07-21,14487
18-07-21,15595
18-07-21,16611
18-07-21,17165
18-07-21,17507
18-07-21,17769
18-07-21,17487
18-07-21,17300
18-07-21,17418
18-07-21,17799
18-07-21,18186
18-07-21,18127
18-07-21,17635
18-07-21,17196
18-07-21,17258
18-07-21,16494
18-07-21,15235
18-07-21,14173
18-07-22,13578
18-07-22,12951
18-07-22,12537
18-07-22,12216
18-07-22,12133
18-07-22,12448
18-07-22,12819
18-07-22,13517
18-07-22,14097
18-07-22,14434
18-07-22,14691
18-07-22,15415
18-07-22,15491
18-07-22,15324
18-07-22,15562
18-07-22,15991
18-07-22,16323
18-07-22,16591
18-07-22,16580
18-07-22,16441
18-07-22,16571
18-07-22,15819
18-07-22,14741
18-07-22,13860
18-07-23,13197
18-07-23,12990
18-07-23,12826
18-07-23,12803
18-07-23,13212
18-07-23,14240
18-07-23,15872
18-07-23,17177
18-07-23,18003
18-07-23,18658
18-07-23,19248
18-07-23,19641
18-07-23,19981
18-07-23,20402
18-07-23,20305
18-07-23,20361
18-07-23,20459
18-07-23,20378
18-07-23,20100
18-07-23,19965
18-07-23,19922
18-07-23,18568
18-07-23,16913
18-07-23,15698
18-07-24,14931
18-07-24,14478
18-07-24,14226
18-07-24,14186
18-07-24,14338
18-07-24,15266
18-07-24,16883
18-07-24,18236
18-07-24,19042
18-07-24,19506
18-07-24,19938
18-07-24,20434
18-07-24,20928
18-07-24,21112
18-07-24,21132
18-07-24,21389
18-07-24,21451
18-07-24,21022
18-07-24,20711
18-07-24,20389
18-07-24,20218
18-07-24,18921
18-07-24,17327
18-07-24,16222
18-07-25,15449
18-07-25,14558
18-07-25,14135
18-07-25,14028
18-07-25,14396
18-07-25,15336
18-07-25,16743
18-07-25,17703
18-07-25,18184
18-07-25,18881
18-07-25,19370
18-07-25,19778
18-07-25,19913
18-07-25,20123
18-07-25,20462
18-07-25,20956
18-07-25,21297
18-07-25,21236
18-07-25,20825
18-07-25,20661
18-07-25,20328
18-07-25,18717
18-07-25,17170
18-07-25,15765
18-07-26,14679
18-07-26,13842
18-07-26,13324
18-07-26,13193
18-07-26,13407
18-07-26,14313
18-07-26,15589
18-07-26,16809
18-07-26,17607
18-07-26,18164
18-07-26,18530
18-07-26,19006
18-07-26,19608
18-07-26,20050
18-07-26,20207
18-07-26,20043
18-07-26,19765
18-07-26,19921
18-07-26,19766
18-07-26,19189
18-07-26,18798
18-07-26,17610
18-07-26,16145
18-07-26,15011
18-07-27,14148
18-07-27,13529
18-07-27,13234
18-07-27,13131
18-07-27,13497
18-07-27,14248
18-07-27,15502
18-07-27,16496
18-07-27,17214
18-07-27,17679
18-07-27,17821
18-07-27,17961
18-07-27,18165
18-07-27,18265
18-07-27,18199
18-07-27,18336
18-07-27,18827
18-07-27,18646
18-07-27,18181
18-07-27,17986
18-07-27,17788
18-07-27,16726
18-07-27,15228
18-07-27,13974
18-07-28,13091
18-07-28,12589
18-07-28,12317
18-07-28,12175
18-07-28,12213
18-07-28,12474
18-07-28,13043
18-07-28,13985
18-07-28,14568
18-07-28,15038
18-07-28,15371
18-07-28,15576
18-07-28,15537
18-07-28,15578
18-07-28,15544
18-07-28,15610
18-07-28,15788
18-07-28,15658
18-07-28,15351
18-07-28,15217
18-07-28,15394
18-07-28,14488
18-07-28,13660
18-07-28,12957
18-07-29,12241
18-07-29,11825
18-07-29,11524
18-07-29,11416
18-07-29,11636
18-07-29,11711
18-07-29,12174
18-07-29,12696
18-07-29,13307
18-07-29,13922
18-07-29,14494
18-07-29,15085
18-07-29,15357
18-07-29,15736
18-07-29,16027
18-07-29,16197
18-07-29,16358
18-07-29,16736
18-07-29,16727
18-07-29,16483
18-07-29,16643
18-07-29,15708
18-07-29,14573
18-07-29,13823
18-07-30,13021
18-07-30,12666
18-07-30,12491
18-07-30,12333
18-07-30,12752
18-07-30,13787
18-07-30,15077
18-07-30,15813
18-07-30,16382
18-07-30,16897
18-07-30,17286
18-07-30,17832
18-07-30,18429
18-07-30,18579
18-07-30,18450
18-07-30,19144
18-07-30,19723
18-07-30,19433
18-07-30,19145
18-07-30,18707
18-07-30,18679
18-07-30,17448
18-07-30,15903
18-07-30,14821
18-07-31,14020
18-07-31,13502
18-07-31,13260
18-07-31,13229
18-07-31,13518
18-07-31,14445
18-07-31,15610
18-07-31,16610
18-07-31,17119
18-07-31,17669
18-07-31,18249
18-07-31,18514
18-07-31,19011
18-07-31,19234
18-07-31,19410
18-07-31,19719
18-07-31,20032
18-07-31,19778
18-07-31,19230
18-07-31,19062
18-07-31,19092
18-07-31,17724
18-07-31,16300
18-07-31,15177
18-08-01,14407
18-08-01,13983
18-08-01,13670
18-08-01,13613
18-08-01,14008
18-08-01,14987
18-08-01,16346
18-08-01,17375
18-08-01,17821
18-08-01,18290
18-08-01,18754
18-08-01,19034
18-08-01,19273
18-08-01,19355
18-08-01,19440
18-08-01,19773
18-08-01,19891
18-08-01,19565
18-08-01,19238
18-08-01,19343
18-08-01,18988
18-08-01,17911
18-08-01,16457
18-08-01,15139
18-08-02,14429
18-08-02,13796
18-08-02,13409
18-08-02,13342
18-08-02,13829
18-08-02,14579
18-08-02,15687
18-08-02,16611
18-08-02,17256
18-08-02,17893
18-08-02,18726
18-08-02,19299
18-08-02,19578
18-08-02,19810
18-08-02,20195
18-08-02,20807
18-08-02,20815
18-08-02,20510
