Date,HOEP
18-05-14,18.38
18-05-14,11.52
18-05-14,6.51
18-05-14,4.46
18-05-14,0.4
18-05-15,0
18-05-15,0.39
18-05-15,3.47
18-05-15,3.19
18-05-15,3.77
18-05-15,13.36
18-05-15,112.5
18-05-15,265.89
18-05-15,53.23
18-05-15,148.39
18-05-15,78.42
18-05-15,5.73
18-05-15,5.69
18-05-15,5.79
18-05-15,6.1
18-05-15,40.17
18-05-15,45.86
18-05-15,6.11
18-05-15,13.65
18-05-15,6.32
18-05-15,4.82
18-05-15,2.53
18-05-15,4.73
18-05-15,5.66
18-05-16,4.32
18-05-16,1.32
18-05-16,0
18-05-16,0
18-05-16,2.87
18-05-16,3.31
18-05-16,9.29
18-05-16,12.98
18-05-16,14.36
18-05-16,17.94
18-05-16,7.34
18-05-16,12.64
18-05-16,14.37
18-05-16,15.42
18-05-16,14.45
18-05-16,15.5
18-05-16,39.48
18-05-16,19.47
18-05-16,14.37
18-05-16,28.26
18-05-16,74.72
18-05-16,11.93
18-05-16,4.43
18-05-16,4.08
18-05-17,1.88
18-05-17,-1.67
18-05-17,0
18-05-17,2.84
18-05-17,5.69
18-05-17,8
18-05-17,12.91
18-05-17,14.34
18-05-17,13.87
18-05-17,12.97
18-05-17,1.68
18-05-17,1.19
18-05-17,1.75
18-05-17,-1.35
18-05-17,0
18-05-17,14.32
18-05-17,5.33
18-05-17,5.85
18-05-17,5.82
18-05-17,5.67
18-05-17,3.38
18-05-17,0.47
18-05-17,-0.01
18-05-17,-0.04
18-05-18,-0.73
18-05-18,-2.7
18-05-18,-0.56
18-05-18,-1.1
18-05-18,-0.12
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,-0.08
18-05-18,-0.06
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,0
18-05-18,4.57
18-05-18,5.71
18-05-18,2.79
18-05-18,0
18-05-18,-0.01
18-05-18,-1.26
18-05-19,-0.34
18-05-19,-3
18-05-19,-2.93
18-05-19,-2.86
18-05-19,-0.3
18-05-19,-0.09
18-05-19,-0.06
18-05-19,0
18-05-19,2.26
18-05-19,9.1
18-05-19,11.59
18-05-19,13.2
18-05-19,13.35
18-05-19,12.1
18-05-19,13.27
18-05-19,6.58
18-05-19,17.08
18-05-19,13.36
18-05-19,10.7
18-05-19,0
18-05-19,3.24
18-05-19,3.29
18-05-19,1.73
18-05-19,0
18-05-20,0
18-05-20,-1.79
18-05-20,-3
18-05-20,-3
18-05-20,-2
18-05-20,-0.04
18-05-20,0.78
18-05-20,4.16
18-05-20,5.77
18-05-20,5.9
18-05-20,5.98
18-05-20,5.86
18-05-20,5.78
18-05-20,1.94
18-05-20,0
18-05-20,3.5
18-05-20,3.35
18-05-20,3.83
18-05-20,5.8
18-05-20,7.53
18-05-20,5.89
18-05-20,11.46
18-05-20,7.77
18-05-20,5.89
18-05-21,3.3
18-05-21,-1.01
18-05-21,-4
18-05-21,-3.92
18-05-21,-3
18-05-21,-2.45
18-05-21,-2.5
18-05-21,-4.3
18-05-21,-4.1
18-05-21,-4
18-05-21,-3
18-05-21,-3
18-05-21,-3
18-05-21,-3
18-05-21,-0.74
18-05-21,7.06
18-05-21,11.95
18-05-21,13.76
18-05-21,10.42
18-05-21,11.16
18-05-21,3.22
18-05-21,0.87
18-05-21,-0.02
18-05-21,-2.14
18-05-22,-3.58
18-05-22,-3.42
18-05-22,-0.21
18-05-22,0
18-05-22,6.77
18-05-22,7.54
18-05-22,12.47
18-05-22,26.51
18-05-22,13.31
18-05-22,13.31
18-05-22,13.32
18-05-22,12.75
18-05-22,12.78
18-05-22,28.06
18-05-22,12.12
18-05-22,13.66
18-05-22,13.39
18-05-22,5.86
18-05-22,11.36
18-05-22,7.16
18-05-22,6.11
18-05-22,6.81
18-05-22,5.95
18-05-22,6.49
18-05-23,9.14
18-05-23,5.76
18-05-23,5.76
18-05-23,-0.01
18-05-23,0.24
18-05-23,4.71
18-05-23,9.22
18-05-23,9.2
18-05-23,8.39
18-05-23,5.83
18-05-23,6.51
18-05-23,5.83
18-05-23,5.86
18-05-23,11.27
18-05-23,10.55
18-05-23,8.11
18-05-23,10.43
18-05-23,7.93
18-05-23,24.14
18-05-23,27.85
18-05-23,31.14
18-05-23,41.11
18-05-23,10.29
18-05-23,6.02
18-05-24,0.83
18-05-24,-0.01
18-05-24,-0.01
18-05-24,-0.02
18-05-24,-0.45
18-05-24,3.99
18-05-24,18.03
18-05-24,16.12
18-05-24,13.35
18-05-24,15.29
18-05-24,13.38
18-05-24,14.76
18-05-24,13.38
18-05-24,13.36
18-05-24,13.33
18-05-24,11.49
18-05-24,13.56
18-05-24,27.25
18-05-24,32.78
18-05-24,31.13
18-05-24,9.66
18-05-24,4.29
18-05-24,1.45
18-05-24,0
18-05-25,0
18-05-25,0
18-05-25,-0.25
18-05-25,-3
18-05-25,0
18-05-25,2.32
18-05-25,7.32
18-05-25,13.29
18-05-25,24.88
18-05-25,29.26
18-05-25,29.32
18-05-25,17.68
18-05-25,8.23
18-05-25,5.86
18-05-25,1.42
18-05-25,6.22
18-05-25,14.93
18-05-25,14.35
18-05-25,15.3
18-05-25,23.85
18-05-25,13.55
18-05-25,4.36
18-05-25,0.88
18-05-25,1.33
18-05-26,0.46
18-05-26,-0.03
18-05-26,-0.25
18-05-26,-2.93
18-05-26,0
18-05-26,-0.03
18-05-26,2.87
18-05-26,15.28
18-05-26,44.14
18-05-26,35.7
18-05-26,27.65
18-05-26,33.28
18-05-26,32.46
18-05-26,27.86
